ID,Sesion,Nivel,Intento,Fecha,Tiempo,Evento
10,1,1,4,2025-11-06,15:13:21.972,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.104,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.271,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.339,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.471,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.571,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.672,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.839,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:22.972,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:23.105,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:23.472,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:23.605,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:23.738,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:23.939,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:24.105,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:24.272,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:24.439,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:24.639,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:24.805,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:25.005,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:25.239,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:25.438,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:25.672,Ubicacion enviada
10,1,1,4,2025-11-06,15:13:25.905,Ubicacion enviada
10,1,1,5,2025-11-06,15:13:31.337,Inicio juego
10,1,1,5,2025-11-06,15:13:31.340,Reglas incumplidas
10,1,1,5,2025-11-06,15:14:00.987,Reglas incumplidas
10,1,1,5,2025-11-06,15:14:06.254,Reglas incumplidas
10,1,1,5,2025-11-06,15:14:11.087,Reglas incumplidas
10,1,1,5,2025-11-06,15:14:21.581,Planificacion guardada
10,1,1,5,2025-11-06,15:14:21.791,Hora salida seleccionada
10,1,1,5,2025-11-06,15:14:23.763,Empieza pregunta y decision
10,1,1,5,2025-11-06,15:14:23.764,Pregunta dormir
10,1,1,5,2025-11-06,15:14:31.230,Termina pregunta y decision
10,1,1,5,2025-11-06,15:14:31.249,Respuesta dormir Si
10,1,1,5,2025-11-06,15:14:31.249,Empieza a dormir
10,1,1,5,2025-11-06,15:14:36.262,Empieza a dormir
10,1,1,5,2025-11-06,15:14:47.223,Empieza pregunta y decision
10,1,1,5,2025-11-06,15:14:47.223,Pregunta parada
10,1,1,5,2025-11-06,15:14:50.885,Termina pregunta y decision
10,1,1,5,2025-11-06,15:14:50.885,Respuesta parada No
10,1,1,5,2025-11-06,15:15:03.384,Empieza pregunta y decision
10,1,1,5,2025-11-06,15:15:03.384,Pregunta parada
10,1,1,5,2025-11-06,15:15:06.984,Termina pregunta y decision
10,1,1,5,2025-11-06,15:15:06.984,Respuesta parada Si
10,1,1,5,2025-11-06,15:15:17.050,Ubicacion enviada
10,1,1,5,2025-11-06,15:15:17.051,Ubicacion bien enviada
10,1,1,6,2025-11-06,15:16:31.771,Inicio juego
10,1,1,6,2025-11-06,15:16:31.774,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:41.163,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:43.829,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:45.467,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:49.252,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:52.640,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:55.273,Reglas incumplidas
10,1,1,6,2025-11-06,15:16:56.807,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:04.579,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:07.167,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:10.895,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:12.362,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:15.295,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:18.761,Reglas incumplidas
10,1,1,6,2025-11-06,15:17:24.289,Reglas incumplidas
